,index,text,start,end
0,0,"什么方式送,然后谁去送,谁接收,这几点可以划分得更细,但是咱们这大几块,你说买上沟霧卡吧,那个让孩子带我去,到时候没送着,然后他给弄丢了,这都是有可能的,这个东西确实是挺难办的一件事。",0.009,22.193
1,1,"这个团,我觉得现在是个老师的图同会,然后有家长把这个礼物带走会长,然后叫来老师问题是咱们不是教师姐吗,他经济也不开家,对不对?我想了一个,比如说咱们教过闪送,或者那种当时拿的身风啊",23.217,46.647
2,2,这个送这个送给老师单说又怕啊比如说对老师上课的时候都不能接电话这也是一个问题要送到保护室因为问题是吧保护室应该有提他老师然后再送你这个东西你送你送的是班主任的其他老师没有,47.654,68.097
3,3,"你要知道是哪个家长送的也是一个问题啊,对吧这个问题现在又自生了一个你到底要让他知道是要送的对呀,这个东西",68.746,82.705
4,4,这个问题肯定的也流明了因为你给他送的优积我认为还是给他优积过去优积他家老师上学在上课这一天可能老去拿优积,82.841,103.865
5,5,给他送的家优的家 不管他什么时候那还是那也要送到家大老师挥把地址挥告诉你吗他不怪他不会告诉你啊你说我要送零个东西啊你把地址告诉我我觉得这个不太现实现在都很注重你的资格送礼物来说呢这个为什么要送就是因为赶白小时节我觉得这个有句话怎么说来着,105.435,132.824
6,6,"里多人不怪,而且在教师节这么一个特殊的环节,把自己的心意跟老师传达了,我觉得应该不会拒绝,他可能会尴尬在学校的时候,但是有可能会跟咱们说地址,我觉得这个来说应该不是一个很大的难题。",132.824,152.432
7,7,那就是提前看看能不能老师那边把地址塞一下反正也提前跟他交代一下咱们要送过底屋过去这种价以后还避免了在教师奔使别的老师会有一些心理错误的,152.432,170.742
8,8,肯定不方便所以我可以让老师们一试诚人就要提前说一下咱们可能也不会说送什么特别贵重的东西但是那是一份新议一定有没有地址而避免就是说指令送到新冠冠冠冠冠冠冠冠冠冠冠,170.742,194.309
9,9,或者说送一些小的物件呢比如亲自交的手里头这些都里头了也从是吧我觉得我认为你可以不是特别大的因为是角色点嘛我角色点孩子们让孩子们拿点老师我送你一个先花今天是您节日这个满可以的是吧就是说咱们孩子准备一份小自己的一个小小的手工伙伙小的先花是来的然后咱们作为家长呢也准备一份礼物,194.838,224.753
10,10,然后是买个类似互演的海灯什么之类的这个东西然后看看什么办法跟这个老师不同亚国地址这个戏这个即刻以解决这个老师现场手里这种,225.401,253.336
11,11,对 跟那的方式吧 然后再一个那时候还可以送给你老师 那孩子玩多了这一半还多了现在只有微信能办公室 联话其他情绪全都没有你这个药了地址了 你就还得把这个这个电话也得药过去电话 电话地址啊,253.558,275.299
12,12,"然后还有什么呢,必须得跟老师提供您有电话地址,最好其实是能够是他老师的家属,把他的这个电话们一直教过来,当比方说9月11号是教师节的话,那我可能要提前一两天就应该要技术,因为北京同城一两天就一干净,如果说,咱们寄到家里",275.742,299.684
13,13,那么咱们提前点错后点 这都无所谓那么如果说咱们带到学校那你肯定就只能当天训现在也就是说咱们的难点就是提前跟这个老师把地址能要起来,299.94,317.261
14,14,如果地址能够顺利的压下来了那么这个时间包括什么的这些单级一切都可以解决时间就可以往前对如果说老师呢地址没有给咱们比如说说这个方便之类的就是没有给咱们那么咱们只能选择后续的当天用选送郵计或者是咱们,317.688,344.701
15,15,亲自看看接送孩子的时候或者是中国的时间或什么的去拜访一下到学校然后把这个东西低胶给老师我觉得老师基本上来说这种,345.128,359.991
