,index,text,start,end
0,0,有有有有有有有有人尊重的这种职业他基本来说呢是有的时候你在教师节这个特别特定的节日你送他什么他都会有一些,0.009,15.964
1,1,謝謝照這個怎麼說呢?可能他不想讓人知道太多的教授節我收了很多禮品雖然說都是一些有愛幫助的這種禮品所以我覺得是不要考慮教授的這種感受能盡量的不健光盡量的,16.135,39.428
2,2,让它舒服 然后呢 使用就能还有一些方式能接受了这个接班礼物让它考试特别呢能接受就不会让不舒服 心里有点不舒服因为在这个全班30名20名评决里边肯定有的家长心思不准密他不送可能家长可能是老出胎的工作他根本想不到就那边的话有的送有的不送他就得把这些东西加到最低,39.582,69.002
3,3,那那你全班有三十多本人就不可能说我三十多个家长就我想单说的我每天我都买一份离我这不好的不太不不太可能那要照这么说的话我觉得就是有去什么固埋乌买乌买本成购乎还他然后呢交之间那天出过时间啊过去直接塞个老师,69.377,92.449
4,4,这样的话也是一份心也避免了你送了一些人家老师用不着的东西倒是占有人家时间在去处理呀或者怎么样,92.807,102.995
5,5,是吧 这个是不是我觉得我们送给送老师礼物是咱们家长和孩子的心意但是也送到老师手里也必须保证老师借付这个东西对 你不能对 你不能这我都说这个东西在其他老师或者说这个寻校的一个让人觉得他你不太好别的老师会问什么时候送的对 还游戏还不好假如说你送给一张纸让校长看见了,104.684,133.319
6,6,"你校长不让你送给什么东西,派回头也受到估计卸力不输务。对,是吧,反正我觉得经常老师受到顶部,又让老师心里输务。所以,我觉得学校送不太合适,咱们就大方向往家里送。",133.865,154.599
7,7,"加了一送呢,加了的話又避免了,這個30個、20個學生一個班呢,有送有不送的這種情況,也表明了自己送的心意,因為就像結婚份子是了,那比如說他誰結婚,那比如說都是朋友,那這五個朋友一起送,有出兩百分子的,有出五百分子的,那五百分的那個人他就補平了,所以說就各送各,",154.599,180.06
8,8,"然后就避免了去学校,然后,比如说对老师的打扰,咱们最好能把地主要的自己送到家里。这样的话,也避免了学校别的老师,去说三道四。我觉得对王老师要地持一般的性格,就是继续性格还是比较大的。",180.06,202.756
9,9,对 这是能提供的 是吧对 我觉得自己想要的就是你干的分家 都得有多多对 但是这个如果说判断是我反而我肯定不提供你这设计有词了 你说孩子你这个孩子的家长那时候你把我的这个地址你公布给别人了 是吧我其实更喜欢是由当便交为老师这种,203.336,223.387
10,10,假如说晚上接送孩子然后跟这家这老师有比如说高中学习啊高中孩子的学习啊这里这一系列的吧然后把东西交给老师当面给新来都是公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众公众,223.387,251.715
11,11,对 也的主要是我们送动也是是我们的心意但是主要是影响比较人家是不是 因为90节人之后这个影响教学了很大 这个到时候不好你看 今年这个教师节我们家就是我同时的孩子他就是买了买了一箱分支通署然后被送 我觉得,251.715,276.834
12,12,其实这种的要是说能够明面上看的这东西价值不是很高而且有很实用的东西其实其实直接送过去也倒没什么就怕说这东西可能略显贵重啊或者说这人觉得可能我觉得价仗可能可能就是无悔太,277.517,295.401
13,13,就是在这个价格方面可能不会选择太高我觉得这个东西一伤一把这个家里什么条件你的这个送理的标准是不同的不可能说家里的特别富裕的可能送的跟那个比较平衡人的这个是一样的这可能是差别的,295.572,316.169
14,14,是吧 是吧 是吧 是吧 是吧 是吧 根據資本家庭的情況然後我來選擇這個東西我覺得價值高低的我覺得價值高低我覺得也可以根據不同的禮物不同的價格然後選擇不同的形式來去配送吧如果說我一概的說我去代表傾向或者說我一概的去配送的這個形式,316.561,344.258
15,15,咱们最主要的是信用咱们家长的信用来说老婆给对咱们的孩子付出一年了 是吧 信用过一年了 咱们要表示呗信用,345.708,359.991
