,index,text,start,end
0,0,这个确实是一个问题,0.009,15.623
1,1,就是说咱们实际上已经确定下来了第一步先跟老师把地址看看能不能所要过来那么这个前提条件就会出现有两个分支那么一个是老师把地址提供给咱们了一个是没有提供如果说没有提供的话那么咱们就选择为,15.691,40.333
2,2,比如说科务卡或者什么的这种小东西里面还有设计到一个分子第一个分子就是所要到了地址第二分子就是老师不愿意给地址对不愿意给地址的前提是咱们已经表明的目的借着教师节对您这个一年的感谢送一些比较实用的礼品对提供,40.981,65.828
3,3,地址那么这边的话它愿不愿意接受礼物如果它要是不愿意提供地址也不愿意接受礼物那么第二个分支可能就省下午就不送了我觉得还说它要接受咱们也不能强求强人所难有的教师他的心理就是觉得我就是像一股人员白一天使的我就是为孩子心甘情愿地去付出的,65.828,93.951
4,4,我觉得这个是一份心意吧不关乃种 我想不想接受那你说咱们一他一位的要强顶着那你说咱们的礼物还是要送吗我觉得像这种就是咱们可以选择其他的礼物,94.309,118.422
5,5,"那你就得厚奔,背一份,如果这一份礼物不需要它就是不接收,就是不想平利之。",119.07,130.555
6,6,"我可以比如说这个家庭除了孩子做一个手工以外,然后可以开可以在选择两个礼物的人,就选择,就想说一个是在地址。如果讲设,它所有的礼物我都不接受,就在咱们在第二个分支上,它依旧所要地址,第二个不给地址,我也不接受礼物,这个时候怎么办?",130.776,154.036
7,7,"我认为这个价格要想给老师给他把一粗鲜花送过去不管那什么时候他给买什么的这个东西了他变下变方了反而不完等着想帮说把这个信息给给老师他要是一定不接受,等会只要表达个心意就能够了",154.189,177.858
8,8,就不要踩上去吧如果要是说不踩上所男的他一定是接受一定不提供地址咱们就把心里传达就够了那么就只有把第二个分支砍掉就只剩第一个分支他所取了咱们所取了地址那么就直接给他弄加点这个事就搞定了,177.858,198.063
9,9,对 其实如果能提供机器指的话这个事情就应该是解了如果说代表是像那种可以买个巧克力就是一块的那种的代表就有孩子的代表就OK了那就是说比如说教师表现明确不需要之代的那这种情况的话就是让孩子的代表,198.063,222.534
10,10,小的比较简单的礼物非常大方即便老师收取了也不会让别人觉得有什么不一样的一样看法之类的如果说他要提供地址咱们就可以把他们想好了的到底送什么东西根据这个,222.722,248.848
11,11,根据这个情况是苏国互惊疑呀这个是比较暖心的一些而且老师能用得上的东西也就是这么一个情况那么也就是说他不停工地址其实给他强迟的,250.589,271.032
12,12,去给他塞过我看什么的也不合适,271.186,289.462
13,13,就是非常驚重的老师那就不收了老师要是愿意听地址咱们也非常高兴的咱们就为了大家都比较高兴就可以了其实老师的心里你打电话你说他要地址他也就知道怎么回事了那心里就有数了是不是,290.674,311.971
14,14,就看提供不提供的事吧,312.927,329.497
15,15,你情依重吗?跟老师正常表达点戏还是对他的尊重他是心理还是比达数个也要觉得这老师对啊他有比加上比较认可的他的付出对 我觉得不管这个礼物咱们最终成功送没送出去我觉得咱们有这个事呢最起码再取在这个老师那边班主任这边他能够对最起码对这个孩子的,329.804,356.954
16,16,最近马上能够知道他的家,357.159,359.991
