,index,text,start,end
0,0,家长是重视他学校里的表现、成绩这方面并且对老师的认可如果说学校对老师不认可的那不可能说张老师就干这件事我觉得这个确实是一个事情,0.009,19.957
1,1,再一个呢就是这个每年也就是名个教师节其实老师对于老师的节日来讲并没有什么太多的你加期了可能去上哥哥补习班去加班去背客可能也就是这么一个节日能够给人家就是就是还是能给他带一些这个比如说,20.555,43.268
2,2,惊喜啊 也好啊 或者说能够让他通过这个节日上到来讲能够更高兴更快乐能够提到他这个教室的这个价值现在也的价值啊现在这个这个这个现在这个环境下啊这老师啊现在都也注重自己白天平常一日五度宿命或者都是给孩子上课,43.916,70.52
3,3,"等到老师兇狱的时候呢,你可以老师家教师节这个礼物不收",70.52,78.285
4,4,从平常变下的方式越老是咱们修计的代老师修计的时候我们一块儿去旅游但是还有一块儿去玩玩我觉得这一块儿去有的也有的那种是少有的有的就是赶脚尸节就是为了在这一天去做一个赶紧然后对老师觉得尊重怎么说呢可能平时的话,78.49,104.804
5,5,"那你说他平时教师节得天安人民不收不收,咱们表明心意就这样可以了最重要的是,因为你送他实用的礼物其实也价值不高他接收不接收于否,那就不爱咱们的事情了",105.06,125.077
6,6,最重要是咱们把心意表明一下周一到周五老师上课然后周末还有我们的道别的地方去做这个叫什么巴尔佐这个什么若说别老师出来理由我觉得这个不太特性,125.435,142.517
7,7,其实很难的他们有个在那个监狱时间还做了直播就受受可能这都是有的很正宋宋是我们的事假如说咱们不送我们的心意然后表达出去了然后老师说我收那就是老师那是我们的心意表达对咱们如果要不送到时候老师会有调理的但是咱们送了以后他不收了然后我们表达了对老师的一份职业的尊重任何然后就是,142.517,172.159
8,8,对自己对资本家的孩子能多多的关注我觉得这已经就够了行 反正咱们就是教授节这个礼物送是肯定的这个事情要做的然后呢还是咱们整体的这个总结一下啊就是分开就是咱们首先要做的就是收集老师这个给咱们提供不提供力者,172.159,199.428
9,9,那么如果说提供了那么接大分析咱们可以把自己想要送的礼物时间呢有机到它的这个诸出就可以了那如果说没有就是没有提供地址啊或者说这个不具介绍的话那么这种情况的话呢咱们就是呃现场就办法啊看看呢能不能以这个其他的情绪啊塞克老师啊如果说这个如果还不可取的话,200.128,229.855
10,10,那么呢买一些那次巧克力啊那种多夫啊人们经过巧克力然后小河装的然后呢让孩子呢直接带给老师是花啊或者是巧克力我觉得都可以我觉得这个就可以了至于这个具体的后续的这个结果怎么样因为也没有办法是预判还是要等交事件来临的时候咱们来看然后呢最后呢就是心意肯定是要带到的对吧马上交事结了,230.503,259.65
11,11,行那就我先这样好好,260.418,267.995
