,index,text,start,end
0,0,这不是快到教师节了吗 看了都给孩子往事送点什么给他们帮主任你们有什么好想法吗我觉得来说呢 可能是,24.445,40.179
1,1,"双份表示,家长去送一份,可能孩子可能自己画个画儿也给送给老师,还觉得这样是不是好一些,还是说家长代表了孩子,代表了家长,单独送给老师。我觉得是双份,然后让这个孩子做一个手工画儿和画儿做一个送工创意的方便。然后让家长买一个比较精美的画儿给表起来。",40.418,65.538
2,2,可以然后还可以像如果要是家长送表说因为老师嘛然后一天上課的咱们都把比如说宝贝亚或者是提升普党的表说三中松鼠这种零食我就可能都可以选择然后还要向小型的安摩的地方面子不用特别大家就很小就一来一两百块钱然后像这种礼物呢我觉得可以由家长来去送说孩子有点太,65.538,93.319
3,3,"太明显了,如果大家就有点太明显了这个孩子呀,小孩跟咱们的孩子打手太小了,小孩都没必要服务",93.592,103.473
4,4,"太小了,一上一二年底,他不能的那么多,是吧?我觉得上一二小年的那种,就由家长来带徐松和特差这种就回,但是你不能说一回上一二年就不送了,一二年底小孩的可以给老师换个换个换",103.797,126.288
5,5,跟老师送过去这是表示叫老师的尊重是吧你了大年级的学生呢肯定要跟老师因为他要学习是不是多了嘛老师这一点也紧心了这个肯定有一瓶中脸比如说一二年级的孩子他不懂表达口纸不清思维肯定还没有人间的完善肯定这个年级的孩子他肯定家长带牢的会多一些,127.381,157.142
6,6,那至于四五六的快小生初的那个年纪要拔高的那个年纪他们的表还能力要相对于一二三年纪要强很多那么这个阶段让孩子去多一些家长少一些达到这种天平护补平衡的这种效果我觉得家长也可以问问孩子你一打针要送老师什么也可以他好一下就是红孩子,157.602,184.735
7,7,从孩子的眼里重发过的表怂不倒是什么理由这个四五年级的孩子他也知道大一点了他也知道天天跟老师一块可以一般的知道老师喜欢什么有什么爱好我们需求有什么不能说家长一辈的区分桌说我想送什么什么这种都觉得要跑一下咱没得证实孩子证实证实证实证实证实证实证实证实证实证实证实证实证实,184.735,212.602
8,8,比如说送个老师天天批改作业送个互演灯现在这几年比较流行互演灯然后这个来说也是非常关心老师然后在这个教师节也是非常恰乎其准然后也不会让老师有些不适,212.602,237.637
9,9,老师呢这一天呢做着那个战争这一天很累的孩子们他给所咱们家长说建议让孩子去 还得 让孩子去决定对 现在还是有些靠谱的提示是吧就几选一就是刚才讲的有什么警官摩义啊 演官摩义或者是户原台灯包括一些防止境外区张的这种这种小的呼聚啊之类的,237.875,265.009
10,10,然后到时候让孩子给参考也让孩子能有一些自己有自己的主观或者什么的意识,265.862,275.247
11,11,给老师送过去 老师可以送因为我们现在关系到一个什么因为有的时候你监整送过去 老师很尴尬很尴尬然后你送的这个这个这个这个产品有的时候可能加上新系一点它会做一个精美的包装但是老师它不会这么想,275.486,296.527
12,12,他雖然是你群绑在教师节上但是我觉得这个来说这个送到哪谁来收这也是一个很大的一个时间底下我是什么时候送的 什么时候送 比如说韩国化的客法这个我九月九月十号教学我和九月十号当天送到咱摆的那些底部是,296.527,321.681
13,13,"是當天打還是提前提前提前,因為現在也關係,因為教師節他關係的還有一個無留的時間。",321.8,340.333
14,14,这个矛盾点就在这如果要是说在教师节前后送不符合当天教师节的这个气氛然后但是你学上一个班有二三十多,341.374,359.991
